Project Name,Package Name,Package Depth,Line Length,Pachage Files
,au/com/cgu/cudos/database/crud/model/create/row/with,9,111,0
,au/com/cgu/cudos/database/crud/model/create/table/with,9,113,0
,au/com/cgu/cudos/database/crud/service,6,97,0
,au/com/cgu/cudos/database/crud/service/create/execute/table,9,118,0
,au/com/cgu/cudos/database/crud/service/create/execute/table/with,10,123,0
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/criteria,12,146,0
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/with,12,142,0
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/with/children/relationship/resolver,15,173,0
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/with/children/relationship/resolver/row,16,177,1
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/with/children/relationship/resolver/row/selector,17,186,1
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/with/children/relationship/resolver/table,16,179,1
,au/com/cgu/cudos/database/crud/service/create/execute/table/with/generatedkeys/without,12,145,0
,au/com/cgu/cudos/database/crud/service/create/execute/table/without,10,126,0
,au/com/cgu/cudos/database/crud/service/delete/statement,8,114,0
,au/com/cgu/cudos/database/crud/service/read/metadata,8,111,0
,au/com/cgu/cudos/database/crud/service/read/metadata/table,9,117,0

cudos/cudos-libraries/document/converter/src/main/java


cudos/cudos-libraries/document/generator/src/main/java

,au/com/cgu/cudos/document/generator/common,6,98,0
,au/com/cgu/cudos/document/generator/common/strategy,7,107,0
,au/com/cgu/cudos/document/generator/simple/freemarker/customdirectives,8,126,0

cudos/cudos-libraries/logging/aop-logging/src/main/java


cudos/cudos-libraries/logging/remote-logger/src/main/java


cudos/cudos-libraries/persistence/jpa-generic-dao/src/main/java


cudos/cudos-libraries/rae/rae-interface-extractor/src/main/java


cudos/cudos-libraries/referenceData/generic-reference-data/src/main/java


cudos/cudos-libraries/referenceData/reference-data/src/main/java


cudos/cudos-libraries/sunriseInterface/src/main/java


cudos/cudos-libraries/test/excel/tool/src/main/java

,com/cgu/cudos/testtool/service/extractor/rules/formatter/map,8,113,0
,com/cgu/cudos/testtool/service/extractor/rules/formatter/system,8,116,0
,com/cgu/cudos/testtool/service/policy/model,6,96,0
,com/cgu/cudos/testtool/v2/service/copied,6,93,0
,com/cgu/cudos/testtool/v2/service/copied/from,7,98,0
,com/cgu/cudos/testtool/v2/service/copied/from/drex,8,103,0
,com/cgu/cudos/testtool/v2/service/drex,6,91,0
,com/cgu/cudos/testtool/v2/service/excel,6,92,0
,com/cgu/cudos/testtool/v2/service/excel/runner/policy,8,106,0
,com/cgu/cudos/testtool/v2/service/excel/runner/policy/from,9,111,0
,com/cgu/cudos/testtool/v2/service/excel/runner/policy/from/scenario,10,120,0

cudos/cudos-libraries/webService/wsRequestBuilder/src/main/java

,au/com/cgu/cudos/request/builder/model/validation,7,114,0

cudos/cudos-libraries/webService/wsRequestSubmitter/src/main/java

,au/com/cgu/cudos/libraries/webservice/requestsubmitter,6,121,0

cudos/cudos-libraries/xml/xml-serialisation/src/main/java

,au/com/cgu/cudos/xml/serialisation/service,6,101,0

cudos/cudos-libraries/xml/xml-stax/src/main/java


cudos/cudos-libraries/xml/xmlToDom/src/main/java


cudos/cudos-offering-manager/src/main/java

,au/com/cgu/cudos/offeringmanager/integration/offering,6,97,0
,au/com/cgu/cudos/offeringmanager/integration/offering/cx,7,100,0
,au/com/cgu/cudos/offeringmanager/integration/offering/cx/rule,8,105,0
,au/com/cgu/cudos/offeringmanager/integration/offering/globalid,7,106,0
,au/com/cgu/cudos/offeringmanager/integration/offering/structure,7,107,0
,au/com/cgu/cudos/offeringmanager/model/inheritance,6,94,0
,au/com/cgu/cudos/offeringmanager/model/inheritance/resolver,7,103,0
,au/com/cgu/cudos/offeringmanager/model/offering,6,91,0
,au/com/cgu/cudos/offeringmanager/model/offering/cx,7,94,0
,au/com/cgu/cudos/offeringmanager/model/offering/cx/rule,8,99,0
,au/com/cgu/cudos/offeringmanager/model/offering/data,7,96,0
,au/com/cgu/cudos/offeringmanager/model/offering/data/holder,8,103,0
,au/com/cgu/cudos/offeringmanager/model/offering/export,7,98,0
,au/com/cgu/cudos/offeringmanager/model/offering/inheritance,7,103,0
,au/com/cgu/cudos/offeringmanager/model/offering/inheritance/resolver,8,112,0
,au/com/cgu/cudos/offeringmanager/model/offering/inheritance/structure,8,113,0
,au/com/cgu/cudos/offeringmanager/model/offering/structure/workflowmapoffering,8,121,0
,au/com/cgu/cudos/offeringmanager/model/offering/workflowmapoffering,7,111,0
,au/com/cgu/cudos/offeringmanager/model/validation,6,93,0
,au/com/cgu/cudos/offeringmanager/service/offering,6,93,0
,au/com/cgu/cudos/offeringmanager/service/offering/cx,7,96,0
,au/com/cgu/cudos/offeringmanager/service/offering/cx/rule,8,101,0
,au/com/cgu/cudos/offeringmanager/service/offering/cx/rule/covers,9,108,0
,au/com/cgu/cudos/offeringmanager/service/offering/export/chain/assembler/base,10,121,0
,au/com/cgu/cudos/offeringmanager/service/offering/importer,7,102,0
,au/com/cgu/cudos/offeringmanager/service/offering/importer/common,8,109,0
,au/com/cgu/cudos/offeringmanager/service/offering/importer/common/sql/relationship,10,126,0
,au/com/cgu/cudos/offeringmanager/service/offering/importer/workflowmap,8,114,0
,au/com/cgu/cudos/offeringmanager/service/offering/importer/workflowmap/override/persister/table,11,139,0
,au/com/cgu/cudos/offeringmanager/service/offering/importer/workflowmap/override/updater/descendants,11,143,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance,7,105,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/persister/database,9,124,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/persister/database/persister/builder,11,142,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/persister/xml,9,119,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/persister/xml/drex,10,124,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/parser/operator/inheritance/operation,12,152,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/structure/item,10,129,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/structure/question/rules,11,139,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/structure/workflowmap/rules,11,142,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/synchroniser/common,10,134,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/synchroniser/structure,10,137,0
,au/com/cgu/cudos/offeringmanager/service/offering/inheritance/resolver/synchroniser/structure/item,11,142,0
,au/com/cgu/cudos/offeringmanager/service/offering/structure/item,8,108,0

cudos/cudos-pd-builder/src/main/java

,au/com/cgu/cudos/pdbuilder/service/builder,6,80,0
,au/com/cgu/cudos/pdbuilder/service/builder/workflowmap/retrieve/by,9,104,0

cudos/cudos-pd-builder-drex-delegates/src/main/java

,au/com/cgu/cudos/pdbuilder/integration/question,6,100,0

cudos/cudos-ui/sample/src/main/java

,au/com/cgu/cudosui/sample/clean/integration,6,80,0
,au/com/cgu/cudosui/sample/clean/integration/common,7,87,0
,au/com/cgu/cudosui/sample/clean/integration/common/claim,8,93,0
,au/com/cgu/cudosui/sample/clean/integration/common/document,8,96,0
,au/com/cgu/cudosui/sample/clean/integration/common/notes/criteria,9,102,0
,au/com/cgu/cudosui/sample/clean/integration/common/payments,8,96,0
,au/com/cgu/cudosui/sample/clean/integration/common/policy,8,94,0
,au/com/cgu/cudosui/sample/clean/integration/common/policy/search,9,101,0
,au/com/cgu/cudosui/sample/clean/integration/common/reinsurance,8,99,0
,au/com/cgu/cudosui/sample/clean/integration/common/repository,8,98,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard,7,90,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/client,8,97,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/navigation,8,101,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/partner,8,98,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/partner/account,9,106,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/partner/product,9,106,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/policy,8,97,0
,au/com/cgu/cudosui/sample/clean/integration/dashboard/policy/serialisation,9,111,0
,au/com/cgu/cudosui/sample/clean/integration/ui,7,83,0
,au/com/cgu/cudosui/sample/clean/integration/ui/external,8,92,0
,au/com/cgu/cudosui/sample/clean/integration/ui/external/bizintelligence,9,108,0
,au/com/cgu/cudosui/sample/clean/integration/ui/external/bizintelligence/common,10,115,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow,8,88,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/answerprocessor,9,104,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/initialisation,9,103,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/initialisation/policy,10,110,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/initialisation/policy/operation,11,120,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main,9,93,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction,10,105,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/staffpanel,11,116,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/staffpanel/correspondence,12,131,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/staffpanel/documents,12,126,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/staffpanel/documents/common,13,133,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/staffpanel/transactions,12,129,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/toppanel,11,114,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/toppanel/referrals,12,124,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/interaction/toppanel/referrals/persister,13,134,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/nongui,10,100,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/main/nongui/premium/pricingdetails/request,13,131,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/phase,9,94,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/phase/prelaunching,10,107,0
,au/com/cgu/cudosui/sample/clean/integration/ui/flow/template,9,97,0
,au/com/cgu/cudosui/sample/clean/integration/ui/policy,8,90,0
,au/com/cgu/cudosui/sample/clean/integration/ui/policy/batch,9,96,0
,au/com/cgu/cudosui/sample/clean/integration/ui/policy/batch/full/xml,11,105,0
,au/com/cgu/cudosui/sample/clean/integration/ui/policy/instalmentbilling,9,108,0
,au/com/cgu/cudosui/sample/clean/integration/ui/policy/loader,9,97,0
,au/com/cgu/cudosui/sample/clean/integration/ui/policy/renewal,9,98,0
,au/com/cgu/cudosui/sample/clean/model,6,74,0
,au/com/cgu/cudosui/sample/clean/model/common,7,81,0
,au/com/cgu/cudosui/sample/clean/model/common/classes,8,89,0
