Call Tree,Time (ms),Own Time (ms),Level
ExtractionServiceOptimised.java:237 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.createQuestionNode(QName:QuestionNodeOptimised:Annotated),46,0,67
ExtractionServiceOptimised.java:396 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.<init>(String:QName),31,0,68
QuestionNodeOptimised.java:45 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForQNames(QName),31,0,69
QuestionNodeOptimised.java:62 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupInCacheOrAddNewQName(Map:QName),31,0,70
QuestionNodeOptimised.java:74 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForUri(QName:Map:String),31,0,71
QuestionNodeOptimised.java:85 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForLocalPart(QName:Map:String),31,0,72
QuestionNodeOptimised.java:107 java.util.HashMap.get(Object),31,31,73
ExtractionServiceOptimised.java:397 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.attachToParent(QuestionNodeOptimised),15,0,68
QuestionNodeOptimised.java:198 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.addAndInitialseChild(QuestionNodeOptimised),15,0,69
QuestionNodeOptimised.java:134 java.util.ArrayList.add(Object),15,15,70
ExtractionServiceOptimised.java:369,280,280,66
ExtractionServiceOptimised.java:359 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.createQuestionNode(QName:QuestionNodeOptimised:Annotated),31,0,65
ExtractionServiceOptimised.java:396 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.<init>(String:QName),31,0,66
QuestionNodeOptimised.java:45 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForQNames(QName),31,31,67
QuestionNodeOptimised.java:62,31,31,68
ExtractionServiceOptimised.java:358 org.ow2.easywsdl.schema.impl.ElementImpl.getQName(),31,0,65
ElementImpl.java:106 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaElementImpl.getSchema(),31,31,66
AbstractSchemaElementImpl.java:170,31,31,67
ExtractionServiceOptimised.java:351,15,15,65
ExtractionServiceOptimised.java:237 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.createQuestionNode(QName:QuestionNodeOptimised:Annotated),124,0,64
ExtractionServiceOptimised.java:396 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.<init>(String:QName),124,0,65
QuestionNodeOptimised.java:39 org.apache.commons.collections.bidimap.AbstractDualBidiMap.containsKey(Object),62,62,66
QuestionNodeOptimised.java:40 org.apache.commons.collections.bidimap.AbstractDualBidiMap.get(Object),46,46,66
QuestionNodeOptimised.java:45 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForQNames(QName),15,0,66
QuestionNodeOptimised.java:62 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupInCacheOrAddNewQName(Map:QName),15,0,67
QuestionNodeOptimised.java:74 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForUri(QName:Map:String),15,0,68
QuestionNodeOptimised.java:85 au.com.cgu.cudos.request.builder.model.QuestionNodeOptimised.lookupForLocalPart(QName:Map:String),15,0,69
QuestionNodeOptimised.java:106 java.util.HashMap.containsKey(Object),15,15,70
ExtractionServiceOptimised.java:232 org.ow2.easywsdl.schema.impl.ElementImpl.getType(),46,0,64
ElementImpl.java:46 org.ow2.easywsdl.schema.impl.ElementImpl.getType(),46,0,65
ElementImpl.java:122 org.ow2.easywsdl.schema.impl.ElementImpl.findType(),46,15,66
ElementImpl.java:78 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getType(QName),31,31,67
AbstractSchemaImpl.java:227,31,31,68
